filename,patch_no,inval_pixels
MOD021KM.A2003231.0420.061.2017195085727.hdf,0,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,1,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,2,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,3,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,4,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,5,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,6,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,7,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,8,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,9,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,10,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,11,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,12,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,13,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,14,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,15,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,16,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,17,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,18,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,19,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,20,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,21,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,22,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,23,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,24,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,25,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,26,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,27,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,28,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,29,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,30,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,31,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,32,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,33,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,34,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,35,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,36,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,37,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,38,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,39,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,40,0
MOD021KM.A2003231.0420.061.2017195085727.hdf,41,0
