,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,filename,patch_no,inval_pixels
58,58,58,58,58.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,58.0,0.0
59,59,59,59,59.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,59.0,0.0
60,60,60,60,60.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,60.0,0.0
61,61,61,61,61.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,61.0,0.0
62,62,62,62,62.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,62.0,0.0
63,63,63,63,63.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,63.0,0.0
64,64,64,64,64.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,64.0,0.0
65,65,65,65,65.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,65.0,0.0
66,66,66,66,66.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,66.0,0.0
67,67,67,67,67.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,67.0,0.0
68,68,68,68,68.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,68.0,0.0
69,69,69,69,69.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,69.0,0.0
70,70,70,70,70.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,70.0,0.0
71,71,71,71,71.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,71.0,0.0
72,72,72,72,72.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,72.0,0.0
73,73,73,73,73.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,73.0,0.0
74,74,74,74,74.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,74.0,0.0
75,75,75,75,75.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,75.0,0.0
76,76,76,76,76.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,76.0,0.0
77,77,77,77,77.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,77.0,0.0
78,78,78,78,78.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,78.0,0.0
79,79,79,79,79.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,79.0,4.0
80,80,80,80,80.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,80.0,0.0
81,81,81,81,81.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,81.0,0.0
82,82,82,82,82.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,82.0,0.0
83,83,83,83,83.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,83.0,0.0
84,84,84,84,84.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,84.0,0.0
85,85,85,85,85.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,85.0,0.0
86,86,86,86,86.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,86.0,0.0
87,87,87,87,87.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,87.0,0.0
88,88,88,88,88.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,88.0,0.0
