filename,patch_no,inval_pixels,fraction_invalid
MOD021KM.A2000260.1315.061.2017175005403.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2000260.1320.061.2017175005238.hdf,1,94,0.0009552554292043942
MOD021KM.A2000260.1325.061.2017175005331.hdf,2,5,5.0811459000233734e-05
MOD021KM.A2000260.1330.061.2017175005314.hdf,4,1,1.0162291800046747e-05
MOD021KM.A2000260.1425.061.2017175005141.hdf,0,176,0.0017885633568082275
MOD021KM.A2000260.1430.061.2017175005548.hdf,7,1,1.0162291800046747e-05
MOD021KM.A2000260.1435.061.2017175005146.hdf,3,17,0.0001727589606007947
MOD021KM.A2000260.1440.061.2017175004913.hdf,7,7,7.113604260032723e-05
MOD021KM.A2000260.1445.061.2017175004942.hdf,52,6,6.097375080028048e-05
MOD021KM.A2000260.1450.061.2017175005104.hdf,111,1,1.0162291800046747e-05
MOD021KM.A2000260.1455.061.2017175004948.hdf,4,3,3.048687540014024e-05
MOD021KM.A2000260.1500.061.2017175005502.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2000260.1505.061.2017175005208.hdf,0,40,0.0004064916720018699
MOD021KM.A2000260.1510.061.2017175005407.hdf,1,20,0.00020324583600093494
MOD021KM.A2000260.1600.061.2017175005003.hdf,0,353,0.0035872890054165015
MOD021KM.A2000260.1605.061.2017175005153.hdf,0,47,0.0004776277146021971
MOD021KM.A2000260.1610.061.2017175005048.hdf,3,130,0.0013210979340060772
MOD021KM.A2000260.1615.061.2017175005007.hdf,1,30,0.0003048687540014024
MOD021KM.A2000260.1620.061.2017175005239.hdf,36,13,0.0001321097934006077
MOD021KM.A2000260.1625.061.2017175005434.hdf,38,1,1.0162291800046747e-05
MOD021KM.A2000260.1630.061.2017175005153.hdf,0,7,7.113604260032723e-05
MOD021KM.A2000260.1635.061.2017175004935.hdf,0,6,6.097375080028048e-05
MOD021KM.A2000260.1640.061.2017175005500.hdf,1,2,2.0324583600093494e-05
MOD021KM.A2000260.1645.061.2017175005327.hdf,34,3,3.048687540014024e-05
MOD021KM.A2000260.1650.061.2017175005150.hdf,13,1,1.0162291800046747e-05
MOD021KM.A2000260.1740.061.2017175005456.hdf,0,75,0.000762171885003506
MOD021KM.A2000260.1745.061.2017175005112.hdf,1,4,4.064916720018699e-05
MOD021KM.A2000260.1750.061.2017175005351.hdf,4,1,1.0162291800046747e-05
MOD021KM.A2000260.1800.061.2017175005406.hdf,2,44,0.00044714083920205686
MOD021KM.A2000260.1805.061.2017175005930.hdf,69,8,8.129833440037398e-05
MOD021KM.A2000260.1810.061.2017175004855.hdf,16,1,1.0162291800046747e-05
MOD021KM.A2000260.1815.061.2017175005100.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2000260.1820.061.2017175005233.hdf,9,10,0.00010162291800046747
MOD021KM.A2000260.1825.061.2017175005410.hdf,0,122,0.0012397995996057032
MOD021KM.A2000260.1920.061.2017175004937.hdf,0,600,0.006097375080028048
MOD021KM.A2000260.1925.061.2017175005405.hdf,6,4,4.064916720018699e-05
MOD021KM.A2000260.1930.061.2017175005150.hdf,0,52,0.0005284391736024308
MOD021KM.A2000260.1935.061.2017175005242.hdf,1,40,0.0004064916720018699
MOD021KM.A2000260.1940.061.2017175005418.hdf,0,65,0.0006605489670030386
MOD021KM.A2000260.1945.061.2017175005647.hdf,0,17,0.0001727589606007947
MOD021KM.A2000260.1950.061.2017175005030.hdf,1,3,3.048687540014024e-05
MOD021KM.A2000260.1955.061.2017175005258.hdf,1,21,0.00021340812780098168
MOD021KM.A2000260.2000.061.2017175005504.hdf,61,17,0.0001727589606007947
MOD021KM.A2000260.2005.061.2017175005217.hdf,74,3,3.048687540014024e-05
MOD021KM.A2000260.2100.061.2017175005158.hdf,0,752,0.007642043433635153
MOD021KM.A2000260.2105.061.2017175005747.hdf,26,23,0.00023373271140107518
MOD021KM.A2000260.2110.061.2017175005417.hdf,0,256,0.002601546700811967
MOD021KM.A2000260.2115.061.2017175005220.hdf,16,1,1.0162291800046747e-05
MOD021KM.A2000260.2120.061.2017175005126.hdf,0,4,4.064916720018699e-05
MOD021KM.A2000260.2125.061.2017175005813.hdf,57,3,3.048687540014024e-05
MOD021KM.A2000260.2130.061.2017175005259.hdf,11,3,3.048687540014024e-05
MOD021KM.A2000260.2135.061.2017175005348.hdf,0,20,0.00020324583600093494
MOD021KM.A2000260.2140.061.2017175005542.hdf,8,24,0.00024389500320112193
MOD021KM.A2000260.2145.061.2017175005155.hdf,21,1,1.0162291800046747e-05
MOD021KM.A2000260.2240.061.2017175005524.hdf,0,8,8.129833440037398e-05
MOD021KM.A2000260.2245.061.2017175005350.hdf,0,80,0.0008129833440037398
MOD021KM.A2000260.2250.061.2017175005605.hdf,7,3,3.048687540014024e-05
MOD021KM.A2000260.2255.061.2017175005456.hdf,59,22,0.00022357041960102843
MOD021KM.A2000260.2300.061.2017175005159.hdf,40,1,1.0162291800046747e-05
MOD021KM.A2000260.2305.061.2017175005510.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2000260.2310.061.2017175005544.hdf,31,2,2.0324583600093494e-05
MOD021KM.A2000260.2315.061.2017175005551.hdf,2,29,0.00029470646220135563
MOD021KM.A2000260.2325.061.2017175005526.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2001015.0015.061.2017172022722.hdf,23,240,0.0024389500320112193
MOD021KM.A2001015.0020.061.2017172022814.hdf,1,200,0.002032458360009349
MOD021KM.A2001015.0135.061.2017172023301.hdf,26,23,0.00023373271140107518
MOD021KM.A2001015.0155.061.2017172023600.hdf,50,20,0.00020324583600093494
MOD021KM.A2001015.0250.061.2017172021848.hdf,0,19,0.0001930835442008882
MOD021KM.A2001015.0305.061.2017172022137.hdf,30,1,1.0162291800046747e-05
MOD021KM.A2001015.0315.061.2017172023101.hdf,53,1,1.0162291800046747e-05
MOD021KM.A2001015.0320.061.2017172022949.hdf,0,4,4.064916720018699e-05
MOD021KM.A2001015.0325.061.2017172022555.hdf,119,1,1.0162291800046747e-05
MOD021KM.A2001015.0335.061.2017172022717.hdf,95,4,4.064916720018699e-05
MOD021KM.A2001015.0510.061.2017172023942.hdf,3,204,0.0020731075272095363
MOD021KM.A2001015.0515.061.2017172022745.hdf,0,20,0.00020324583600093494
MOD021KM.A2001015.0610.061.2017172023002.hdf,33,2,2.0324583600093494e-05
MOD021KM.A2001015.0615.061.2017172022740.hdf,46,2,2.0324583600093494e-05
MOD021KM.A2001015.0630.061.2017172023347.hdf,27,2,2.0324583600093494e-05
MOD021KM.A2001015.0655.061.2017172023914.hdf,23,5,5.0811459000233734e-05
MOD021KM.A2001015.0750.061.2017172022815.hdf,86,1,1.0162291800046747e-05
MOD021KM.A2001015.0805.061.2017172023150.hdf,10,1,1.0162291800046747e-05
MOD021KM.A2001015.0810.061.2017172023415.hdf,26,853,0.008668434905439875
MOD021KM.A2001015.0820.061.2017172023632.hdf,41,20,0.00020324583600093494
MOD021KM.A2001015.0825.061.2017172023157.hdf,36,32,0.0003251933376014959
MOD021KM.A2001015.0830.061.2017172023252.hdf,1,60,0.0006097375080028048
MOD021KM.A2001015.0925.061.2017172023050.hdf,0,97,0.0009857423046045345
MOD021KM.A2001015.0940.061.2017172022909.hdf,4,1,1.0162291800046747e-05
MOD021KM.A2001015.1000.061.2017172022356.hdf,60,1,1.0162291800046747e-05
MOD021KM.A2001015.1010.061.2017172023203.hdf,0,12,0.00012194750160056096
MOD021KM.A2001015.1105.061.2017172022239.hdf,0,73,0.0007418473014034126
MOD021KM.A2001015.1110.061.2017172022103.hdf,96,1,1.0162291800046747e-05
MOD021KM.A2001015.1120.061.2017172022756.hdf,3,3,3.048687540014024e-05
MOD021KM.A2001015.1125.061.2017172022658.hdf,73,13,0.0001321097934006077
MOD021KM.A2001015.1150.061.2017172023554.hdf,46,20,0.00020324583600093494
MOD021KM.A2001015.1240.061.2017172022219.hdf,0,24,0.00024389500320112193
MOD021KM.A2001015.1245.061.2017172021925.hdf,3,1,1.0162291800046747e-05
MOD021KM.A2001015.1250.061.2017172022955.hdf,12,1,1.0162291800046747e-05
MOD021KM.A2001015.1255.061.2017172022749.hdf,3,1,1.0162291800046747e-05
MOD021KM.A2001015.1300.061.2017172022843.hdf,96,1,1.0162291800046747e-05
MOD021KM.A2001015.1310.061.2017172022415.hdf,66,2,2.0324583600093494e-05
MOD021KM.A2001015.1320.061.2017172023132.hdf,71,1,1.0162291800046747e-05
MOD021KM.A2001015.1325.061.2017172023458.hdf,16,1,1.0162291800046747e-05
MOD021KM.A2001015.1330.061.2017172022942.hdf,0,72,0.0007316850096033658
MOD021KM.A2001015.1420.061.2017172023007.hdf,0,62,0.0006300620916028983
MOD021KM.A2001015.1425.061.2017172023019.hdf,2,1,1.0162291800046747e-05
MOD021KM.A2001015.1430.061.2017172023050.hdf,43,25,0.00025405729500116865
MOD021KM.A2001015.1435.061.2017172023435.hdf,1,2,2.0324583600093494e-05
MOD021KM.A2001015.1440.061.2017172022738.hdf,0,3,3.048687540014024e-05
MOD021KM.A2001015.1445.061.2017172022908.hdf,35,10,0.00010162291800046747
MOD021KM.A2001015.1600.061.2017172023244.hdf,0,19,0.0001930835442008882
MOD021KM.A2001015.1605.061.2017172023300.hdf,141,1,1.0162291800046747e-05
MOD021KM.A2001015.1625.061.2017172022756.hdf,89,14,0.00014227208520065446
MOD021KM.A2001015.1630.061.2017172023231.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2001015.1640.061.2017172023341.hdf,84,1,1.0162291800046747e-05
MOD021KM.A2001015.1645.061.2017172023007.hdf,23,1,1.0162291800046747e-05
MOD021KM.A2001015.1745.061.2017172023005.hdf,86,8,8.129833440037398e-05
MOD021KM.A2001015.1750.061.2017172023326.hdf,0,80,0.0008129833440037398
MOD021KM.A2001015.1755.061.2017172023412.hdf,75,1,1.0162291800046747e-05
MOD021KM.A2001015.1820.061.2017172023714.hdf,42,2,2.0324583600093494e-05
MOD021KM.A2001015.1825.061.2017172023559.hdf,9,5,5.0811459000233734e-05
MOD021KM.A2001015.1920.061.2017172023344.hdf,0,92,0.0009349308456043007
MOD021KM.A2001015.1925.061.2017172023222.hdf,0,40,0.0004064916720018699
MOD021KM.A2001015.1945.061.2017172023948.hdf,5,119,0.0012093127242055629
MOD021KM.A2001015.2005.061.2017172023257.hdf,10,9,9.146062620042072e-05
MOD021KM.A2001015.2055.061.2017172023903.hdf,0,64,0.0006503866752029918
MOD021KM.A2001015.2110.061.2017172022504.hdf,26,20,0.00020324583600093494
MOD021KM.A2001015.2145.061.2017172023910.hdf,6,17,0.0001727589606007947
MOD021KM.A2001015.2235.061.2017172023447.hdf,0,6,6.097375080028048e-05
MOD021KM.A2001015.2240.061.2017172023432.hdf,90,200,0.002032458360009349
MOD021KM.A2001015.2250.061.2017172023215.hdf,11,40,0.0004064916720018699
MOD021KM.A2001015.2255.061.2017172023327.hdf,79,3,3.048687540014024e-05
MOD021KM.A2001015.2300.061.2017172023019.hdf,22,16,0.00016259666880074795
MOD021KM.A2001162.0000.061.2017173011724.hdf,74,1,1.0162291800046747e-05
MOD021KM.A2001162.0010.061.2017173013120.hdf,115,55,0.000558926049002571
MOD021KM.A2001162.0025.061.2017173012801.hdf,39,1,1.0162291800046747e-05
MOD021KM.A2001162.0030.061.2017173012756.hdf,82,2,2.0324583600093494e-05
MOD021KM.A2001162.0035.061.2017173013116.hdf,30,7,7.113604260032723e-05
MOD021KM.A2001162.0125.061.2017173012136.hdf,3,1,1.0162291800046747e-05
MOD021KM.A2001162.0140.061.2017173011044.hdf,17,2,2.0324583600093494e-05
MOD021KM.A2001162.0145.061.2017173011630.hdf,100,40,0.0004064916720018699
MOD021KM.A2001162.0150.061.2017173010856.hdf,0,60,0.0006097375080028048
MOD021KM.A2001162.0155.061.2017173011606.hdf,0,20,0.00020324583600093494
MOD021KM.A2001162.0200.061.2017173010944.hdf,32,18,0.00018292125240084144
MOD021KM.A2001162.0205.061.2017173011055.hdf,37,1,1.0162291800046747e-05
MOD021KM.A2001162.0210.061.2017173011136.hdf,6,4,4.064916720018699e-05
MOD021KM.A2001162.0305.061.2017173011744.hdf,0,100,0.0010162291800046746
MOD021KM.A2001162.0320.061.2017173011733.hdf,11,1,1.0162291800046747e-05
MOD021KM.A2001162.0325.061.2017173012002.hdf,41,1,1.0162291800046747e-05
MOD021KM.A2001162.0330.061.2017173011814.hdf,6,9,9.146062620042072e-05
MOD021KM.A2001162.0335.061.2017173011836.hdf,36,2,2.0324583600093494e-05
MOD021KM.A2001162.0340.061.2017173011834.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2001162.0345.061.2017173011926.hdf,6,2,2.0324583600093494e-05
MOD021KM.A2001162.0350.061.2017173011829.hdf,120,1,1.0162291800046747e-05
MOD021KM.A2001162.0455.061.2017173012916.hdf,102,6,6.097375080028048e-05
MOD021KM.A2001162.0500.061.2017173012947.hdf,59,2,2.0324583600093494e-05
MOD021KM.A2001162.0505.061.2017173012812.hdf,55,20,0.00020324583600093494
MOD021KM.A2001162.0515.061.2017173012738.hdf,43,14,0.00014227208520065446
MOD021KM.A2001162.0520.061.2017173012157.hdf,2,8,8.129833440037398e-05
MOD021KM.A2001162.0525.061.2017173011942.hdf,42,2,2.0324583600093494e-05
MOD021KM.A2001162.0530.061.2017173011914.hdf,72,1,1.0162291800046747e-05
MOD021KM.A2001162.0620.061.2017173011924.hdf,0,13,0.0001321097934006077
